method,k,ndcg,precision,recall,f1
MiniLM,10,0.975,0.972,0.01,0.019
MiniLM,50,0.955,0.95,0.047,0.09
MiniLM,100,0.945,0.938,0.094,0.171
MiniLM,500,0.872,0.858,0.429,0.572
MiniLM,1000,0.767,0.741,0.741,0.741
Linq_Mistral,10,0.936,0.934,0.009,0.018
Linq_Mistral,50,0.925,0.921,0.046,0.088
Linq_Mistral,100,0.918,0.914,0.091,0.166
Linq_Mistral,500,0.87,0.861,0.43,0.574
Linq_Mistral,1000,0.772,0.749,0.749,0.749
GTE_large,10,0.946,0.946,0.009,0.019
GTE_large,50,0.937,0.936,0.047,0.089
GTE_large,100,0.929,0.925,0.093,0.168
GTE_large,500,0.881,0.872,0.436,0.582
GTE_large,1000,0.79,0.768,0.768,0.768
Hybrid RRF,10,0.961,0.956,0.01,0.019
Hybrid RRF,50,0.955,0.952,0.048,0.091
Hybrid RRF,100,0.945,0.94,0.094,0.171
Hybrid RRF,500,0.898,0.888,0.444,0.592
Hybrid RRF,1000,0.804,0.782,0.782,0.782
Hybrid RRF + Reranker,10,0.979,0.98,0.01,0.019
Hybrid RRF + Reranker,50,0.958,0.952,0.048,0.091
Hybrid RRF + Reranker,100,0.947,0.94,0.094,0.171
Hybrid RRF + Reranker,500,0.898,0.888,0.444,0.592
Hybrid RRF + Reranker,1000,0.805,0.782,0.782,0.782
